County,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote
SNYDER,4687.0,242.0,10073.0,-5386.0,2,0.31,0.02,0.67,-0.36000000000000004,2,4002.0,636.0,11725.0,-7723.0,2,0.24,0.04,0.72,-0.48,2,SOLID RED,-0.12,Central,42109,22180,14140,5269,2771,22264,13863,5587,2814,16363.0,0.738,16431.0
SOMERSET,9436.0,522.0,23984.0,-14548.0,2,0.28,0.02,0.71,-0.42999999999999994,2,7376.0,1018.0,27379.0,-20003.0,2,0.21,0.03,0.77,-0.56,2,SOLID RED,-0.13,West,42111,46659,28032,14085,4542,49693,27363,17611,4719,35773.0,0.767,38115.0
SULLIVAN,1034.0,47.0,1868.0,-834.0,2,0.35,0.02,0.63,-0.28,2,750.0,95.0,2291.0,-1541.0,2,0.24,0.03,0.73,-0.49,2,SOLID RED,-0.21,Central,42113,4416,2528,1416,472,4404,2422,1526,456,3136.0,0.71,3127.0
SUSQUEHANNA,6935.0,309.0,10800.0,-3865.0,2,0.38,0.02,0.6,-0.21999999999999997,2,5123.0,849.0,12891.0,-7768.0,2,0.27,0.05,0.68,-0.41000000000000003,2,SOLID RED,-0.19,Northeast,42115,25516,15067,7168,3281,26373,15002,8035,3336,18863.0,0.739,19490.0
TIOGA,5357.0,305.0,11342.0,-5985.0,2,0.32,0.02,0.67,-0.35000000000000003,2,3901.0,810.0,13614.0,-9713.0,2,0.21,0.04,0.74,-0.53,2,SOLID RED,-0.18,Central,42117,25221,15961,6009,3251,26592,15892,7183,3517,18325.0,0.727,19332.0
UNION,6109.0,263.0,9896.0,-3787.0,2,0.38,0.02,0.61,-0.22999999999999998,2,6180.0,666.0,10622.0,-4442.0,2,0.35,0.04,0.61,-0.26,2,SOLID RED,-0.03,Central,42119,24050,12824,7324,3902,24669,12910,7625,4134,17468.0,0.726,17910.0
VENANGO,7945.0,407.0,13815.0,-5870.0,2,0.36,0.02,0.62,-0.26,2,6309.0,1018.0,16021.0,-9712.0,2,0.27,0.04,0.69,-0.41999999999999993,2,SOLID RED,-0.16,Central,42121,31048,17535,9591,3922,32655,17516,11081,4058,23348.0,0.752,24557.0
WARREN,6995.0,294.0,10010.0,-3015.0,2,0.4,0.02,0.58,-0.17999999999999994,2,5145.0,812.0,12477.0,-7332.0,2,0.28,0.04,0.68,-0.4,2,SOLID RED,-0.22,Central,42123,30486,15899,9797,4790,30146,15118,10502,4526,18434.0,0.605,18238.0
WASHINGTON,40345.0,1175.0,53230.0,-12885.0,2,0.43,0.01,0.56,-0.13000000000000006,2,36322.0,3742.0,61386.0,-25064.0,2,0.36,0.04,0.61,-0.25,2,SOLID RED,-0.12,West,42125,145882,62074,66402,17406,138835,55307,68026,15502,101450.0,0.695,96490.0
WAYNE,8396.0,315.0,12896.0,-4500.0,2,0.39,0.01,0.6,-0.20999999999999996,2,7008.0,766.0,16244.0,-9236.0,2,0.29,0.03,0.68,-0.39000000000000007,2,SOLID RED,-0.18,Northeast,42127,33353,18556,9565,5232,33683,18116,10152,5415,24018.0,0.72,24252.0
WESTMORELAND,63722.0,1918.0,103932.0,-40210.0,2,0.38,0.01,0.61,-0.22999999999999998,2,59669.0,5860.0,116522.0,-56853.0,2,0.33,0.03,0.64,-0.31,2,SOLID RED,-0.08,West,42129,239997,109215,102458,28324,246020,103853,113582,28585,182051.0,0.759,186729.0
WYOMING,5061.0,224.0,6587.0,-1526.0,2,0.43,0.02,0.55,-0.12000000000000005,2,3811.0,496.0,8837.0,-5026.0,2,0.29,0.04,0.67,-0.38000000000000006,2,SOLID RED,-0.26,Northeast,42131,17209,10023,5206,1980,16865,9592,5350,1923,13144.0,0.764,12885.0
YORK,73191.0,2734.0,113304.0,-40113.0,2,0.39,0.01,0.6,-0.20999999999999996,2,68524.0,8934.0,128528.0,-60004.0,2,0.33,0.04,0.62,-0.29,2,SOLID RED,-0.08,PA Dutch,42133,291334,148124,97447,45763,295895,147452,102563,45880,205986.0,0.707,209198.0
