County,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,DEM_18_raw,OTHER_18_raw,REP_18_raw,NET_DEM_18_raw,WINNER_18_raw,DEM_18_pct,OTHER_18_pct,REP_18_pct,NET_DEM_18_pct,WINNER_18_pct,COUNTY_CAT,TREND_16_18,TREND_12_18,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_NPA_Other,Reg_18_Total,Reg_18_Rep,Reg_18_Dem,Reg_18_NPA_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_NPA_Other,Total_Vote_16,Total_Vote_18,Turnout_16,Turnout_18,Expected_2020_Vote
Pasco,98263,2883,112427,-14164,2,0.46,0.01,0.53,-0.07,2,90142,8896,142101,-51959,2,0.37,0.04,0.59,-0.21999999999999997,2,89447,51,121212,-31765,2,0.42,0.0,0.58,-0.15999999999999998,2,SOLID RED,0.06,-0.09,-0.15,North Central,12101,336040,130782,107516,97742,351949,137323,109924,104702,375952,150141,114873,110938,241139,210710,0.718,0.599,269934.0
Pinellas,239104,5340,213258,25846,1,0.52,0.01,0.47,0.050000000000000044,1,233701,19501,239201,-5500,2,0.47,0.04,0.49,-0.020000000000000018,2,228712,127,205935,22777,1,0.53,0.0,0.47,0.06000000000000005,1,OBAMA-TRUMP,0.08,0.01,-0.07,Central,12103,648791,231105,232610,185076,666876,235001,237943,193932,684298,238989,248376,196933,492403,434774,0.759,0.652,519382.0
Polk,114622,2484,131577,-16955,2,0.46,0.01,0.53,-0.07,2,117433,9451,157430,-39997,2,0.41,0.03,0.55,-0.14000000000000007,2,105748,45,138751,-33003,2,0.43,0.0,0.57,-0.13999999999999996,2,SOLID RED,0.0,-0.07,-0.07,Central,12105,407653,146376,149748,111529,417217,149130,147175,120912,450458,163593,156819,130046,284314,244544,0.697,0.586,313969.0
Putnam,11667,331,19326,-7659,2,0.37,0.01,0.62,-0.25,2,10094,885,22138,-12044,2,0.3,0.03,0.67,-0.37000000000000005,2,9344,5,18689,-9345,2,0.33,0.0,0.67,-0.34,2,SOLID RED,0.03,-0.09,-0.12,Jacksonville,12107,47423,17890,20415,9118,47218,19156,18655,9407,49125,21651,17422,10052,33117,28038,0.698,0.594,34289.0
Santa Rosa,17768,892,58186,-40418,2,0.23,0.01,0.76,-0.53,2,18464,3942,65339,-46875,2,0.21,0.04,0.74,-0.53,2,19047,10,56374,-37327,2,0.25,0.0,0.75,-0.5,2,SOLID RED,0.03,0.03,0.0,Panhandle,12109,130840,76273,26415,28152,132357,77689,25388,29280,138944,81504,26349,31091,87745,75431,0.671,0.57,93231.0
Sarasota,95119,1857,110504,-15385,2,0.46,0.01,0.53,-0.07,2,97870,6755,124438,-26568,2,0.43,0.03,0.54,-0.11000000000000004,2,96973,35,113585,-16612,2,0.46,0.0,0.54,-0.08000000000000002,2,SOLID RED,0.03,-0.01,-0.04,Red South,12111,301926,129528,92654,79744,318384,135368,97827,85189,328276,138766,104142,85368,229063,210593,0.759,0.661,249161.0
Seminole,96445,2232,109943,-13498,2,0.46,0.01,0.53,-0.07,2,105914,9539,109443,-3529,2,0.47,0.04,0.49,-0.020000000000000018,2,101504,31,97457,4047,1,0.51,0.0,0.49,0.020000000000000018,1,OBAMA-TRUMP,0.04,0.09,0.05,Central,12113,291964,111773,98117,82074,303668,111030,103816,88822,322451,113918,113038,95495,224896,198992,0.77,0.655,248287.0
St. Johns,35190,1092,78513,-43323,2,0.31,0.01,0.68,-0.37000000000000005,2,43099,4731,88684,-45585,2,0.32,0.03,0.65,-0.33,2,45638,12,85031,-39393,2,0.35,0.0,0.65,-0.30000000000000004,2,SOLID RED,0.03,0.07,0.04,Jacksonville,12115,173203,91710,40878,40615,187125,98416,44780,43929,199584,105523,49988,44073,136514,130681,0.788,0.698,157272.0
St. Lucie,65869,956,56202,9667,1,0.54,0.01,0.46,0.08000000000000002,1,66881,3677,70289,-3408,2,0.47,0.03,0.5,-0.030000000000000027,2,63978,34,59612,4366,1,0.52,0.0,0.48,0.040000000000000036,1,OBAMA-TRUMP,0.07,-0.04,-0.11,Red South,12117,194368,62548,78611,53209,203131,65836,80648,56647,212818,70218,84375,58225,140847,123624,0.725,0.609,154293.0
Sumter,19524,309,40646,-21122,2,0.32,0.01,0.67,-0.35000000000000003,2,22638,1297,52730,-30092,2,0.3,0.02,0.69,-0.38999999999999996,2,21678,3,52868,-31190,2,0.29,0.0,0.71,-0.42,2,SOLID RED,-0.03,-0.07,-0.04,North Central,12119,92153,48901,23527,19725,96497,52251,23991,20255,101276,57381,24024,19871,76665,74549,0.832,0.773,84262.0
Suwannee,4751,206,12672,-7921,2,0.27,0.01,0.72,-0.44999999999999996,2,3964,443,14287,-10323,2,0.21,0.02,0.76,-0.55,2,4044,2,11842,-7798,2,0.25,0.0,0.75,-0.5,2,SOLID RED,0.05,-0.05,-0.1,North Central,12121,26422,11354,10941,4127,25813,12086,9598,4129,26706,13733,8654,4319,18694,15888,0.708,0.616,18908.0
Taylor,2764,107,6249,-3485,2,0.3,0.01,0.69,-0.38999999999999996,2,2152,208,6930,-4778,2,0.23,0.02,0.75,-0.52,2,2263,0,5638,-3375,2,0.29,0.0,0.71,-0.42,2,SOLID RED,0.1,-0.03,-0.13,Panhandle,12123,12303,4198,6952,1153,12142,4596,6254,1292,12281,6055,4967,1259,9290,7901,0.755,0.651,9272.0
Union,1339,74,3980,-2641,2,0.25,0.01,0.74,-0.49,2,1014,112,4568,-3554,2,0.18,0.02,0.8,-0.6200000000000001,2,1197,0,3650,-2453,2,0.25,0.0,0.75,-0.5,2,SOLID RED,0.12,-0.01,-0.13,Jacksonville,12125,7256,3002,3508,746,7396,3405,3220,771,7600,3963,2821,816,5694,4847,0.785,0.655,5966.0
Volusia,114748,2298,117490,-2742,2,0.49,0.01,0.5,-0.010000000000000009,2,109091,8771,143007,-33916,2,0.42,0.03,0.55,-0.13000000000000006,2,102819,0,125762,-22943,2,0.45,0.0,0.55,-0.10000000000000003,2,SOLID RED,0.03,-0.09,-0.12,Central,12127,363438,127839,128843,106756,382408,136309,130931,115168,379655,140740,127775,111140,260869,228581,0.718,0.598,272592.0
Wakulla,5175,195,9290,-4115,2,0.35,0.01,0.63,-0.28,2,4348,491,10512,-6164,2,0.28,0.03,0.68,-0.4,2,4868,0,9322,-4454,2,0.34,0.0,0.66,-0.32,2,SOLID RED,0.08,-0.04,-0.12,Panhandle,12129,20045,7827,8835,3383,20810,8768,8378,3664,21967,10190,7826,3951,15351,14190,0.766,0.682,16827.0
Walton,6671,333,21490,-14819,2,0.23,0.01,0.75,-0.52,2,6876,1005,25756,-18880,2,0.2,0.03,0.77,-0.5700000000000001,2,7485,4,22776,-15291,2,0.25,0.0,0.75,-0.5,2,SOLID RED,0.07,0.02,-0.05,Panhandle,12131,46645,27443,9794,9408,50263,30272,9730,10261,54690,33142,10305,11243,33637,30265,0.721,0.602,39431.0
Washington,2820,141,8038,-5218,2,0.26,0.01,0.73,-0.47,2,2264,255,8637,-6373,2,0.2,0.02,0.77,-0.5700000000000001,2,1959,0,7101,-5142,2,0.22,0.0,0.78,-0.56,2,SOLID RED,0.01,-0.09,-0.1,Panhandle,12133,15172,7554,5617,2001,15817,8242,5260,2315,16711,9111,4881,2719,11156,9060,0.735,0.573,12283.0
