CountyName,DEM_12_raw,OTHER_12_raw,REP_12_raw,NET_DEM_12_raw,WINNER_12_raw,DEM_12_pct,OTHER_12_pct,REP_12_pct,NET_DEM_12_pct,WINNER_12_pct,DEM_16_raw,OTHER_16_raw,REP_16_raw,NET_DEM_16_raw,WINNER_16_raw,DEM_16_pct,OTHER_16_pct,REP_16_pct,NET_DEM_16_pct,WINNER_16_pct,COUNTY_CAT,TREND_12_16,Region,FIPS,Reg_16_Total,Reg_16_Rep,Reg_16_Dem,Reg_16_Other,Reg_20_Total,Reg_20_Rep,Reg_20_Dem,Reg_20_Other,Total_Vote_16,Turnout_16,Expected_2020_Vote,DEM_20_raw,OTHER_20_raw,REP_20_raw,NET_DEM_20_raw,WINNER_20_raw,DEM_20_pct,OTHER_20_pct,REP_20_pct,NET_DEM_20_pct,WINNER_20_pct,Total_Vote_20,Turnout_20,Expected_20_Vote_Remaining,Proj_Dem_Vote_Remaining,Proj_Rep_Vote_Remaining,Proj_Other_Vote_Remaining,Proj_Dem_Vote_Total,Proj_Rep_Vote_Total,Proj_Other_Vote_Total,Proj_Dem_Margin,Proj_Winner
JEFFERSON,4787.0,262.0,13048.0,-8261.0,2,0.26,0.01,0.72,-0.45999999999999996,2,3650.0,636.0,15192.0,-11542.0,2,0.19,0.03,0.78,-0.5900000000000001,2,SOLID RED,-0.13,North Central,42065,29926,16971,9579,3376,30256,18219,8543,3494,19478.0,0.651,19697.0,2170,0,8561,-6391,2,0.2,0,0.8,-0.6000000000000001,2,10731,0.355,8966.0,1793.2,7172.8,0.0,3963.2,15733.8,0.0,-11771.0,2
JUNIATA,2547.0,126.0,6862.0,-4315.0,2,0.27,0.01,0.72,-0.44999999999999996,2,1821.0,360.0,8273.0,-6452.0,2,0.17,0.03,0.79,-0.62,2,SOLID RED,-0.17,Alleghenies,42067,13840,8444,3970,1426,13633,8884,3385,1364,10454.0,0.755,10293.0,1117,0,3813,-2696,2,0.23,0,0.77,-0.54,2,4930,0.362,5363.0,1233.49,4129.51,0.0,2350.49,7942.51,0.0,-5592.0,2
LACKAWANNA,61838.0,1092.0,35085.0,26753.0,1,0.63,0.01,0.36,0.27,1,51983.0,3089.0,48384.0,3599.0,1,0.5,0.03,0.47,0.030000000000000027,1,SOLID BLUE,-0.24,Poconos,42069,148104,42553,91046,14505,142575,43497,84320,14758,103456.0,0.699,99660.0,34354,0,15713,18641,1,0.69,0,0.31,0.37999999999999995,1,50067,0.351,49593.0,34219.17,15373.83,0.0,68573.17,31086.83,0.0,37486.0,1
LANCASTER,88481.0,3286.0,130669.0,-42188.0,2,0.4,0.01,0.59,-0.18999999999999995,2,91093.0,12105.0,137914.0,-46821.0,2,0.38,0.05,0.57,-0.18999999999999995,2,SOLID RED,0.0,PA Dutch,42071,335791,174365,108172,53254,331820,168857,109948,53015,241112.0,0.718,238247.0,42798,0,57462,-14664,2,0.43,0,0.57,-0.13999999999999996,2,100260,0.302,137987.0,59334.409999999996,78652.59,0.0,102132.41,136114.59,0.0,-33982.0,2
LAWRENCE,17513.0,476.0,21047.0,-3534.0,2,0.45,0.01,0.54,-0.09000000000000002,2,14009.0,1316.0,25428.0,-11419.0,2,0.34,0.03,0.62,-0.27999999999999997,2,SOLID RED,-0.19,Greater Pittsburgh,42073,57049,23368,27516,6165,54204,24128,23954,6122,40753.0,0.714,38702.0,7850,0,8303,-453,2,0.49,0,0.51,-0.020000000000000018,2,16153,0.298,22549.0,11049.01,11499.99,0.0,18899.010000000002,19802.989999999998,0.0,-904.0,2
LEBANON,19900.0,808.0,35872.0,-15972.0,2,0.35,0.01,0.63,-0.28,2,18953.0,2367.0,40525.0,-21572.0,2,0.31,0.04,0.66,-0.35000000000000003,2,SOLID RED,-0.07,PA Dutch,42075,86878,47199,27298,12381,86963,47431,26582,12950,61845.0,0.712,61918.0,8959,0,17855,-8896,2,0.33,0,0.67,-0.34,2,26814,0.308,35104.0,11584.32,23519.68,0.0,20543.32,41374.68,0.0,-20831.0,2
LEHIGH,78283.0,1845.0,66874.0,11409.0,1,0.53,0.01,0.45,0.08000000000000002,1,81324.0,5979.0,73690.0,7634.0,1,0.51,0.04,0.46,0.04999999999999999,1,SOLID BLUE,-0.03,Philadelphia,42077,236081,80623,115745,39713,234842,79585,114292,40965,160993.0,0.682,160162.0,39104,0,27576,11528,1,0.59,0,0.41,0.18,1,66680,0.284,93482.0,55154.38,38327.619999999995,0.0,94258.38,65903.62,0.0,28355.0,1
LUZERNE,64307.0,1807.0,58325.0,5982.0,1,0.52,0.01,0.47,0.050000000000000044,1,52451.0,3844.0,78688.0,-26237.0,2,0.39,0.03,0.58,-0.18999999999999995,2,OBAMA-TRUMP,-0.24,Poconos,42079,205332,74116,108055,23161,211276,80225,104952,26099,134983.0,0.657,138808.0,32495,0,28133,4362,1,0.54,0,0.46,0.08000000000000002,1,60628,0.287,78180.0,42217.200000000004,35962.8,0.0,74712.20000000001,64095.8,0.0,10616.0,1
LYCOMING,15203.0,632.0,30658.0,-15455.0,2,0.33,0.01,0.66,-0.33,2,13020.0,1918.0,35627.0,-22607.0,2,0.26,0.04,0.7,-0.43999999999999995,2,SOLID RED,-0.11,North Central,42081,69764,38125,22442,9197,69008,39413,20565,9030,50565.0,0.725,50031.0,6931,0,16055,-9124,2,0.3,0,0.7,-0.39999999999999997,2,22986,0.333,27045.0,8113.5,18931.5,0.0,15044.5,34986.5,0.0,-19942.0,2
MERCER,24232.0,706.0,25925.0,-1693.0,2,0.48,0.01,0.51,-0.030000000000000027,2,18733.0,2032.0,31544.0,-12811.0,2,0.36,0.04,0.6,-0.24,2,SOLID RED,-0.21,Great Lakes,42085,77265,33047,34096,10122,70706,32650,28893,9163,52309.0,0.677,47868.0,8785,0,10958,-2173,2,0.44,0,0.56,-0.12000000000000005,2,19743,0.279,28125.0,12375.0,15750.000000000002,0.0,21160.0,26708.0,0.0,-5548.0,2
